Song,Artist,Album
Down With the Sickness,Disturbed,The Sickness
Tank!,Seatbelts,COWBOY BEBOP Tank! THE! BEST!
Goodbye,Porches,The House
Swamp Thing,The Chameleons,Strange Times
Corcovado,Antônio Carlos Jobim,"The Composer Of Desafinado, Plays (Classics International Version)"
Nothing it Can,Helios,Moiety
State of Mind,Mad Caddies,Keep It Going
Policy of Truth,Depeche Mode,The Singles 86-98
Boats Against the Current,Sleepsleeprepeat,Submerge
Anadolu Flex,Murda,Made In Turkey
Pukebox,Psychedelic Porn Crumpets,Pukebox
Simon Vandetta,Strawberry Girls,American Graffiti
Coupure Électrique,Britney Spears,Glory (Deluxe Version)
Anima Christi,Mary Lou Williams,Mary Lou Williams Presents Black Christ of the Andes
Rolling Ocean Waves,Ocean Waves For Sleep,"Waves of the Sea, Ocean and Lakes"
Plaything,Wild Beasts,Smother
Heart of Glass - Remix,Blondie,Parallel Lines: Deluxe Collector's Edition
Seven Pillars of Wisdom,Sabaton,The Great War
Dr MacQueen Feeds The Media Frenzy,Kitchen Cynics,Beads Upon An Abacus
Strife - Kill or be Killed [Normal Battle: 2nd Half],Yuzo Koshiro,Etrian Odyssey
Dolphins,Non Dolet,V
Born To Decay,Vallenfyre,Fear Those Who Fear Him
Spice Routes (feat. Nat Birchall),Emanative,Earth
Louder Than Words,Pink Floyd,The Endless River
The Talking Fish,Ibibio Sound Machine,Ibibio Sound Machine
The Mixed Tape - 2015 Remastered,Jack's Mannequin,Everything in Transit
Cut Me,Moses Sumney,græ
Cerecloth,Naglfar,Cerecloth
Until We Shine,David August,Times
Everything Counts,Depeche Mode,Everything Counts
West Savannah (feat. SZA),Isaiah Rashad,Cilvia Demo
Outro (feat. Bro A.A. Rashid),Westside Gunn,FlyGod
That's All Right,Elvis Presley,"The Complete Sun Singles, Vol. 1 [Disc 3]"
Durch Die Haare Die Stirn,Schwefelgelb,Dahinter Das Gesicht
Fawnosaur,Minusbaby,Strong Arctic Winds Take Terns: Fourteen Songs Written and Recorded Between 2003 and 2004 (Remastered)
Eugene,Sufjan Stevens,Carrie & Lowell
Pausa,Izal,Pausa
I'm Not in Love,Talking Heads,More Songs About Buildings and Food
